material,bulk_modulus,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_Z,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_Z,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
BaAgO3,0.723307857564,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
BaAlO3,0.955497529453,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
BaBiO3,0.744158990173,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
BaCdO3,0.635033838212,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
BaCoO3,1.06663870936,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
BaCrO3,1.22132544736,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
BaCuO3,0.862978084007,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
BaFeO3,1.12993874346,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
BaGaO3,0.861783115641,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
BaGeO3,1.01968955408,2.19055,2.19055,2.07035,2.07035,56,-3.21432997351793,-1.89673998437323,1.09425329097451,5.36250785589695,3.22838057343573,2,4,0.92235,1.17105,0.90585,1.09295,32,-3.8244499684913,-3.8244499684913,-0.570452135301915,7.44894692860485,3.43924739665147
